Date,YHOO,AAPL,AMZN
10/1/14,40.32,98.75,317.46
10/2/14,40.5,99.47,318.41
10/3/14,41.03,99.19,322.74
10/6/14,41.52,99.19,322.2
10/7/14,40.93,98.32,316.98
10/8/14,41.08,100.36,322.7
10/9/14,41.1,100.58,315.37
10/10/14,39.6,100.3,311.39
10/13/14,38.38,99.38,306.45
10/14/14,37.97,98.32,308.31
10/15/14,37.82,97.12,305.97
10/16/14,38.12,95.84,302.86
10/17/14,38.45,97.25,303.64
10/20/14,39.28,99.33,306.21
10/21/14,40.18,102.03,315.33
10/22/14,42,102.55,312.97
10/23/14,42.6,104.38,313.18
10/24/14,43.5,104.77,287.06
10/27/14,44.7,104.66,289.97
10/28/14,45.87,106.28,295.59
10/29/14,45.43,106.88,294.12
10/30/14,45.63,106.52,299.07
10/31/14,46.05,107.53,305.46
11/3/14,46.34,108.93,305.72
11/4/14,47.08,108.13,302.81
11/5/14,47.46,108.39,296.52
11/6/14,47.93,108.7,296.64
11/7/14,48.55,109.01,299.86
11/10/14,49.41,108.83,305.11
11/11/14,49.05,109.7,312.01
11/12/14,50.6,111.25,311.51
11/13/14,50.5,112.82,316.48
11/14/14,51.75,114.18,327.82
11/17/14,52.37,113.99,323.05
11/18/14,51.75,115.47,324.93
11/19/14,50.58,114.67,326.54
11/20/14,51.25,116.31,330.54
11/21/14,51.04,116.47,332.63
11/24/14,51.83,118.63,335.64
11/25/14,51.72,117.6,335.04
11/26/14,51.93,119,333.57
11/28/14,51.74,118.93,338.64
12/1/14,50.1,115.07,326
12/2/14,50.67,114.63,326.31
12/3/14,50.28,115.93,316.5
12/4/14,50.41,115.49,316.93
12/5/14,50.99,115,312.63
12/8/14,49.62,112.4,306.64
12/9/14,50.51,114.12,312.5
