valtyp,lÌ_nsnr,lÌ_n,kommunnr,kommun,valkretsnr,valkrets,parti,tilltrÌ_desdatum,invalsordning,personvald,fÌ¦rnamn,efternamn,Ì´lder,kÌ¦n,lista,listplats,kandidatnr
R,,,,,2,Stockholms lÌ_n,S,,8,,Ingela,Nylund Watz,52,K,Feb-97,8,489871
R,,,,,2,Stockholms lÌ_n,S,,9,,Yilmaz,Kerimo,51,M,Feb-97,9,489872
R,,,,,2,Stockholms lÌ_n,V,,1,,Nooshi,Dadgostar,29,K,May-02,5,475785
R,,,,,2,Stockholms lÌ_n,V,,2,,Ali,Esbati,38,M,May-02,6,475786
R,,,,,2,Stockholms lÌ_n,MP,,1,,Esabelle,Dingizian,51,K,0055-07281,4,477288
R,,,,,2,Stockholms lÌ_n,MP,,2,,Annika,Hirvonen,25,K,0055-07281,2,477286
R,,,,,2,Stockholms lÌ_n,MP,,3,,Carl,Schlyter,46,M,0055-07281,3,477287
R,,,,,2,Stockholms lÌ_n,SD,,1,,Roger,Hedlund,34,M,0110-08275,26,479477
R,,,,,2,Stockholms lÌ_n,SD,,2,,Carina,Herrstedt,43,K,0110-08275,2,308222
R,,,,,2,Stockholms lÌ_n,SD,,3,,Julia,Kronlid,34,K,0110-08275,3,479454
R,,,,,2,Stockholms lÌ_n,SD,,4,,BjÌ¦rn,SÌ¦der,38,M,0110-08275,4,479455
R,,,,,3,Uppsala lÌ_n,M,,1,,Ulrika,Karlsson,41,K,Jan-25,1,433233
R,,,,,3,Uppsala lÌ_n,M,,2,,Jessika,Roswall,41,K,Jan-25,2,433234
R,,,,,3,Uppsala lÌ_n,M,,3,,Per,Bill,56,M,Jan-25,3,433235
R,,,,,3,Uppsala lÌ_n,C,,1,personvald,Solveig,Zander,59,K,Apr-47,1,366089
R,,,,,3,Uppsala lÌ_n,FP,,1,personvald,Maria,Weimer,35,K,Mar-21,2,525539
R,,,,,3,Uppsala lÌ_n,KD,,1,personvald,Mikael,Oscarsson,47,M,0068-08947,1,415787
R,,,,,3,Uppsala lÌ_n,S,,1,,Ardalan,Shekarabi,35,M,Feb-20,1,407011
R,,,,,3,Uppsala lÌ_n,S,,2,,Agneta,Gille,58,K,Feb-20,2,407012
R,,,,,3,Uppsala lÌ_n,S,,3,,Pyry,Niemi,49,M,Feb-20,3,263354
R,,,,,3,Uppsala lÌ_n,V,,1,personvald,Emma,Wallrup,43,K,May-57,1,334878
R,,,,,3,Uppsala lÌ_n,MP,,1,,Niclas,Malmberg,44,M,0055-09222,1,521347
R,,,,,3,Uppsala lÌ_n,SD,,1,,Josef,Fransson,35,M,0110-08275,11,479462
R,,,,,4,SÌ¦dermanlands lÌ_n,M,,1,personvald,Per,Westerberg,63,M,Jan-42,1,468627
R,,,,,4,SÌ¦dermanlands lÌ_n,M,,2,,Ulf,Kristersson,50,M,Jan-42,2,529819
R,,,,,4,SÌ¦dermanlands lÌ_n,M,,3,,Lotta,Finstorp,55,K,Jan-42,3,314420
R,,,,,4,SÌ¦dermanlands lÌ_n,S,,1,,Hans,EkstrÌ¦m,56,M,Feb-23,1,450685
