valtyp,lÌ_nsnr,lÌ_n,kommunnr,kommun,valkretsnr,valkrets,parti,tilltrÌ_desdatum,invalsordning,personvald,fÌ¦rnamn,efternamn,Ì´lder,kÌ¦n,lista,listplats,kandidatnr
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,MP,,1,personvald,Emma,NohrÌ©n,34,K,0055-06000,1,452514
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,SD,,1,,Tony,Wiklander,75,M,0110-08275,21,479472
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,SD,,2,,Per,Klarberg,49,M,0110-08275,38,479489
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,M,,1,,Camilla,Waltersson GrÌ¦nvall,45,K,Jan-60,1,468641
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,M,,2,,Mikael,Cederbratt,59,M,Jan-60,2,505592
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,C,,1,personvald,Annika,Qarlsson,49,K,Apr-83,1,442465
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,FP,,1,personvald,Said,Abdu,28,M,Mar-03,2,423454
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,KD,,1,personvald,Penilla,Gunther,50,K,0068-06138,1,503182
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,S,,1,,JÌ¦rgen,Hellman,51,M,Feb-40,1,454774
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,S,,2,,Maria,Andersson Willner,36,K,Feb-40,2,454650
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,S,,3,,Peter,Johnsson,52,M,Feb-40,3,454776
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,S,,4,,Paula,Holmqvist,50,K,Feb-40,4,453304
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,V,,1,personvald,Rossana,Dinamarca,40,K,May-92,1,450971
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,MP,,1,personvald,Janine,Alm Ericson,40,K,0055-09139,2,452540
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,SD,,1,,Markus,Wiechel,26,M,0110-08275,20,467125
R,,,,,18,VÌ_stra GÌ¦talands lÌ_ns norra,SD,,2,,Jonas,Millard,33,M,0110-08275,44,479495
R,,,,,19,VÌ_stra GÌ¦talands lÌ_ns sÌ¦dra,M,,1,personvald,Cecilie,Tenfjord-Toftby,44,K,Jan-21,2,509329
R,,,,,19,VÌ_stra GÌ¦talands lÌ_ns sÌ¦dra,M,,2,,Jan,Ericson,53,M,Jan-21,1,468642
R,,,,,19,VÌ_stra GÌ¦talands lÌ_ns sÌ¦dra,S,,1,,Phia,Andersson,59,K,Feb-48,1,453885
R,,,,,19,VÌ_stra GÌ¦talands lÌ_ns sÌ¦dra,S,,2,,Petter,LÌ¦berg,46,M,Feb-48,2,452189
R,,,,,19,VÌ_stra GÌ¦talands lÌ_ns sÌ¦dra,S,,3,,Ann-Christin,Ahlberg,56,K,Feb-48,3,453887
R,,,,,19,VÌ_stra GÌ¦talands lÌ_ns sÌ¦dra,SD,9/30/14,1,,Nina,Kain,41,K,0110-08275,51,199639
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,M,,1,personvald,Cecilia,Widegren,41,K,Jan-19,2,484958
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,M,,2,personvald,Sten,Bergheden,49,M,Jan-19,1,468643
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,C,,1,personvald,Ulrika,Carlsson,49,K,Apr-19,1,377762
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,KD,,1,personvald,Annika,Eclund,53,K,0068-06413,1,503158
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,S,,1,personvald,Urban,Ahlin,49,M,Feb-59,1,454722
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,S,,2,,Carina,Ohlsson,57,K,Feb-59,2,453537
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,S,,3,,Patrik,BjÌ¦rck,57,M,Feb-59,3,454090
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,S,,4,,Monica,Green,54,K,Feb-59,4,454816
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,SD,,1,,Margareta,Larsson,50,K,0110-08275,10,479461
R,,,,,20,VÌ_stra GÌ¦talands lÌ_ns Ì¦stra,SD,9/30/14,2,,Robert,Stenkvist,56,M,0110-08275,50,475305
R,,,,,21,VÌ_rmlands lÌ_n,M,,1,personvald,Christian,Holm,38,M,Jan-13,3,462065
R,,,,,21,VÌ_rmlands lÌ_n,M,,2,,Pia,HallstrÌ¦m,52,K,Jan-13,1,462063
R,,,,,21,VÌ_rmlands lÌ_n,C,,1,personvald,Daniel,BÌ_ckstrÌ¦m,38,M,Apr-28,1,460238
R,,,,,21,VÌ_rmlands lÌ_n,S,,1,personvald,Lars Mejern,Larsson,48,M,Feb-10,1,458148
R,,,,,21,VÌ_rmlands lÌ_n,S,,2,,Berit,HÌ¦gman,56,K,Feb-10,2,458149
R,,,,,21,VÌ_rmlands lÌ_n,S,,3,,Jonas,Gunnarsson,34,M,Feb-10,3,458150
R,,,,,21,VÌ_rmlands lÌ_n,S,,4,,Gunilla,Svantorp,50,K,Feb-10,4,458151
R,,,,,21,VÌ_rmlands lÌ_n,S,,5,,Mikael,Dahlqvist,46,M,Feb-10,5,458152
R,,,,,21,VÌ_rmlands lÌ_n,V,,1,personvald,HÌ´kan,Svenneling,28,M,May-79,1,502827
R,,,,,21,VÌ_rmlands lÌ_n,MP,,1,personvald,Stina,BergstrÌ¦m,55,K,0055-08551,1,458097
R,,,,,21,VÌ_rmlands lÌ_n,SD,,1,,Mattias,Karlsson,37,M,0110-08275,5,479456
R,,,,,22,ÌĞrebro lÌ_n,M,,1,personvald,Elisabeth,Svantesson,46,K,Jan-51,1,468645
R,,,,,22,ÌĞrebro lÌ_n,M,,2,,Lotta,Olsson,53,K,Jan-51,2,527842
R,,,,,22,ÌĞrebro lÌ_n,FP,,1,personvald,Johan,Pehrson,46,M,Mar-12,1,380823
R,,,,,22,ÌĞrebro lÌ_n,KD,,1,personvald,Lars-Axel,Nordell,62,M,0068-06384,1,512291
R,,,,,22,ÌĞrebro lÌ_n,S,,1,,Matilda,Ernkrans,41,K,Feb-79,1,471248
R,,,,,22,ÌĞrebro lÌ_n,S,,2,,Lennart,Axelsson,62,M,Feb-79,2,411328
R,,,,,22,ÌĞrebro lÌ_n,S,,3,,Eva-Lena,Jansson,51,K,Feb-79,3,508644
R,,,,,22,ÌĞrebro lÌ_n,S,,4,,HÌ´kan,Bergman,60,M,Feb-79,4,508645
R,,,,,22,ÌĞrebro lÌ_n,V,,1,personvald,Mia,Sydow MÌ¦lleby,53,K,May-76,1,134121
R,,,,,22,ÌĞrebro lÌ_n,MP,,1,,Jonas,Eriksson,47,M,0055-07812,1,477494
R,,,,,22,ÌĞrebro lÌ_n,SD,,1,,David,LÌ´ng,41,M,0110-08275,18,475402
R,,,,,22,ÌĞrebro lÌ_n,SD,,2,,Sara-Lena,BjÌ_lkÌ¦,38,K,0110-08275,41,297306
R,,,,,23,VÌ_stmanlands lÌ_n,M,,1,personvald,Jessica,PolfjÌ_rd,43,K,Jan-81,1,435780
R,,,,,23,VÌ_stmanlands lÌ_n,M,,2,,ÌÉsa,Coenraads,36,K,Jan-81,2,435736
R,,,,,23,VÌ_stmanlands lÌ_n,FP,,1,personvald,Roger,Haddad,36,M,Mar-20,1,415750
R,,,,,23,VÌ_stmanlands lÌ_n,S,,1,,Olle,Thorell,46,M,Feb-98,1,370781
R,,,,,23,VÌ_stmanlands lÌ_n,S,,2,,Pia,Nilsson,52,K,Feb-98,2,370782
R,,,,,23,VÌ_stmanlands lÌ_n,S,,3,,Lars,Eriksson,44,M,Feb-98,3,370783
R,,,,,23,VÌ_stmanlands lÌ_n,S,,4,,Anna,WallÌ©n,33,K,Feb-98,4,370784
R,,,,,23,VÌ_stmanlands lÌ_n,V,,1,personvald,Stig,Henriksson,59,M,May-21,2,377524
R,,,,,23,VÌ_stmanlands lÌ_n,SD,,1,,Jonas,ÌÉkerlund,65,M,0110-08275,17,479468
R,,,,,23,VÌ_stmanlands lÌ_n,SD,,2,,Stefan,Jakobsson,45,M,0110-08275,47,438545
R,,,,,24,Dalarnas lÌ_n,M,,1,personvald,Carl-Oskar,Bohlin,28,M,Jan-38,2,502194
R,,,,,24,Dalarnas lÌ_n,M,,2,,Ulf,Berg,57,M,Jan-38,1,468647
R,,,,,24,Dalarnas lÌ_n,C,,1,personvald,Anders,Ahlgren,61,M,Apr-83,1,363550
R,,,,,24,Dalarnas lÌ_n,S,,1,personvald,Peter,Hultqvist,55,M,Feb-33,1,498583
R,,,,,24,Dalarnas lÌ_n,S,,2,,Maria,StrÌ¦mkvist,50,K,Feb-33,2,498584
R,,,,,24,Dalarnas lÌ_n,S,,3,,Hans,Unander,44,M,Feb-33,3,498585
R,,,,,24,Dalarnas lÌ_n,S,,4,,Roza,GÌ_clÌ_ Hedin,31,K,Feb-33,4,498586
R,,,,,24,Dalarnas lÌ_n,V,,1,personvald,Daniel,Riazat,23,M,May-53,1,463507
R,,,,,24,Dalarnas lÌ_n,MP,,1,,Jan,Lindholm,62,M,0055-07306,1,501828
R,,,,,24,Dalarnas lÌ_n,SD,,1,,Sven-Olof,SÌ_llstrÌ¦m,45,M,0110-08275,8,390731
R,,,,,24,Dalarnas lÌ_n,SD,,2,,Magnus,Persson,43,M,0110-08275,37,316955
R,,,,,25,GÌ_vleborgs lÌ_n,M,,1,personvald,Tomas,TobÌ©,36,M,Jan-66,1,269028
R,,,,,25,GÌ_vleborgs lÌ_n,M,,2,,Margareta,Berg Kjellin,66,K,Jan-66,2,269029
R,,,,,25,GÌ_vleborgs lÌ_n,C,,1,personvald,Anders,W Jonsson,53,M,Apr-81,1,411597
R,,,,,25,GÌ_vleborgs lÌ_n,S,,1,,Raimo,PÌ_rssinen,58,M,Feb-87,1,151770
R,,,,,25,GÌ_vleborgs lÌ_n,S,,2,,ÌÉsa,Lindestam,58,K,Feb-87,2,151771
R,,,,,25,GÌ_vleborgs lÌ_n,S,,3,,Patrik,Lundqvist,30,M,Feb-87,3,150112
R,,,,,25,GÌ_vleborgs lÌ_n,S,,4,,Elin,Lundgren,36,K,Feb-87,4,151773
R,,,,,25,GÌ_vleborgs lÌ_n,V,,1,personvald,Ulla,Andersson,51,K,May-54,1,422183
R,,,,,25,GÌ_vleborgs lÌ_n,MP,,1,,Anders,SchrÌ¦der,24,M,0055-09273,1,353645
R,,,,,25,GÌ_vleborgs lÌ_n,SD,,1,,Mikael,Jansson,49,M,0110-08275,13,443489
R,,,,,25,GÌ_vleborgs lÌ_n,SD,,2,,Mikael,Eskilandersson,37,M,0110-08275,39,180445
R,,,,,26,VÌ_sternorrlands lÌ_n,M,,1,,Lena,Asplund,57,K,Jan-42,1,468649
R,,,,,26,VÌ_sternorrlands lÌ_n,M,,2,,Eva,Lohman,65,K,Jan-42,2,495588
R,,,,,26,VÌ_sternorrlands lÌ_n,C,,1,personvald,Emil,KÌ_llstrÌ¦m,27,M,Apr-19,1,494083
R,,,,,26,VÌ_sternorrlands lÌ_n,S,,1,,Susanne,Eberstein,66,K,Feb-42,1,500505
R,,,,,26,VÌ_sternorrlands lÌ_n,S,,2,,Jasenko,Omanovic,47,M,Feb-42,2,492692
R,,,,,26,VÌ_sternorrlands lÌ_n,S,,3,,Eva,Sonidsson,58,K,Feb-42,3,496297
R,,,,,26,VÌ_sternorrlands lÌ_n,S,,4,,Ingemar,Nilsson,58,M,Feb-42,4,500508
R,,,,,26,VÌ_sternorrlands lÌ_n,S,,5,,Kristina,Nilsson,49,K,Feb-42,5,500509
R,,,,,26,VÌ_sternorrlands lÌ_n,V,,1,,Christina,HÌ¦j Larsen,43,K,May-92,1,42120
R,,,,,26,VÌ_sternorrlands lÌ_n,SD,,1,,Mattias,BÌ_ckstrÌ¦m Johansson,29,M,0110-08275,24,418261
R,,,,,27,JÌ_mtlands lÌ_n,M,,1,personvald,Saila,Quicklund,52,K,Jan-81,1,468650
R,,,,,27,JÌ_mtlands lÌ_n,C,,1,personvald,Per,ÌÉsling,57,M,Apr-22,1,509869
R,,,,,27,JÌ_mtlands lÌ_n,S,,1,personvald,Kalle,Olsson,30,M,Feb-83,4,489006
R,,,,,27,JÌ_mtlands lÌ_n,S,,2,personvald,Anna-Caren,SÌ_therberg,49,K,Feb-83,1,303108
R,,,,,28,VÌ_sterbottens lÌ_n,M,,1,personvald,Edward,Riedl,38,M,Jan-51,1,410190
R,,,,,28,VÌ_sterbottens lÌ_n,C,,1,personvald,Helena,Lindahl,42,K,Apr-69,1,401957
R,,,,,28,VÌ_sterbottens lÌ_n,S,,1,,HelÌ©n,Pettersson,42,K,Feb-88,1,407988
R,,,,,28,VÌ_sterbottens lÌ_n,S,,2,,Isak,From,47,M,Feb-88,2,407989
R,,,,,28,VÌ_sterbottens lÌ_n,S,,3,,Katarina,KÌ¦hler,60,K,Feb-88,3,407990
R,,,,,28,VÌ_sterbottens lÌ_n,S,,4,,BjÌ¦rn,Wiechel,30,M,Feb-88,4,407991
R,,,,,28,VÌ_sterbottens lÌ_n,S,,5,,Veronica,Lindholm,29,K,Feb-88,5,407992
R,,,,,28,VÌ_sterbottens lÌ_n,V,,1,personvald,Jonas,SjÌ¦stedt,49,M,May-89,1,405573
R,,,,,28,VÌ_sterbottens lÌ_n,MP,,1,personvald,Jabar,Amin,55,M,0055-05664,1,399050
R,,,,,28,VÌ_sterbottens lÌ_n,SD,,1,,Anna,Hagwall,61,K,0110-08275,19,479470
R,,,,,29,Norrbottens lÌ_n,M,,1,personvald,Krister,Hammarbergh,50,M,Jan-49,1,355878
R,,,,,29,Norrbottens lÌ_n,S,,1,personvald,Sven-Erik,Bucht,59,M,Feb-67,1,488694
R,,,,,29,Norrbottens lÌ_n,S,,2,,Hannah,Bergstedt,37,K,Feb-67,2,488695
R,,,,,29,Norrbottens lÌ_n,S,,3,,Fredrik,Lundh Sammeli,37,M,Feb-67,3,488696
R,,,,,29,Norrbottens lÌ_n,S,,4,,Emilia,TÌ¦yrÌ_,29,K,Feb-67,4,92814
R,,,,,29,Norrbottens lÌ_n,S,,5,,Leif,Pettersson,60,M,Feb-67,5,488698
R,,,,,29,Norrbottens lÌ_n,V,,1,,Birger,Lahti,49,M,May-92,1,138485
R,,,,,29,Norrbottens lÌ_n,SD,,1,,Hanna,Wigh,27,K,0110-08275,14,479465
